P(boon,|"'a) = 100%	
P(read|"i) = 6%	
P(cannot|"i) = 6%	
P(have|"i) = 18%	
P(trust|"i) = 6%	
P(believe|"i) = 6%	
P(find|"i) = 6%	
P(i|"if) = 20%	
P(the|"if) = 20%	
P(ever|"if) = 20%	
P(any|"if) = 20%	
P(it|"if) = 20%	
P(and|"imagery,") = 100%	
P(fee,|"in) = 14%	
P(all|"in) = 14%	
P(olden|"in) = 14%	
P(putting|"in) = 14%	
P(the|"in) = 43%	
P(as|"infidels,") = 100%	
P(with|"inflamed) = 100%	
P(about|"information) = 100%	
P(of|"instead) = 100%	
P(of|"instruments) = 100%	
P(from|"ironside") = 100%	
P(whom|"ironsides,") = 50%	
P(the|"ironsides,") = 50%	
P(not|"is) = 20%	
P(your|"is) = 20%	
P(here."|"is) = 20%	
P(it|"is) = 20%	
P(an|"is) = 20%	
P(perhaps|"it) = 7%	
P(will|"it) = 14%	
P(is|"it) = 57%	
P(was|"it) = 14%	
P(dragged|"it) = 7%	
P(garden,"|"kafur's) = 100%	
P(the|"keeps) = 100%	
P(stephen,|"king) = 50%	
P(harold|"king) = 50%	
P(was|"knight") = 100%	
P(of|"knights) = 50%	
P(templars."|"knights) = 50%	
P(the|"laid) = 100%	
P(it|"lashes") = 100%	
P(now,|"learn) = 100%	
P(me|"leave) = 100%	
P(ericson|"leif) = 100%	
P(us|"let) = 100%	
P(man|"liege) = 100%	
P(and|"life) = 100%	
P(limit"|"limitless) = 100%	
P(of|"lion) = 100%	
P(of|"livery) = 100%	
P(since|"long) = 100%	
P(relief,|"lord") = 100%	
P(and|"lords";) = 100%	
P(and|"loud) = 50%	
P(was|"loud) = 50%	
P(in|"mahometans) = 100%	
P(men."|"makes) = 100%	
P(is|"manor") = 100%	
P(and|"mansur,") = 100%	
P(allah|"may) = 50%	
P(my|"may) = 50%	
P(the|"meanwhile) = 100%	
P(them|"measured) = 100%	
P(came|"men) = 100%	
P(having,|"minstrel"),) = 100%	
P(cheerful|"more) = 100%	
P(on|"moreover,) = 100%	
P(say|"moreover,") = 100%	
P(star"|"morning) = 100%	
P(zion|"mount) = 100%	
P(if|"mulct";) = 100%	
P(dominions,"|"my) = 33%	
P(brother,"|"my) = 33%	
P(children|"my) = 33%	
P(a|"near) = 50%	
P(it|"near) = 50%	
P(to|"neither) = 100%	
P(general|"nine) = 100%	
P(one,"|"no) = 17%	
P(one|"no) = 83%	
P(conquest|"norman) = 100%	
P(even|"norman,") = 100%	
P(a|"not) = 33%	
P(to|"not) = 33%	
P(from|"not) = 33%	
P(the|"notwithstanding) = 100%	
P(or|"oecumenical,") = 100%	
P(the|"of) = 50%	
P(beholding|"of) = 50%	
P(spoils|"ofttimes) = 100%	
P(what|"oh,) = 100%	
P(stone|"old) = 100%	
P(their|"on) = 33%	
P(account|"on) = 33%	
P(the|"on) = 33%	
P(of|"one) = 33%	
P(woman|"one) = 33%	
P(night,"|"one) = 33%	
P(of|"orientalism") = 100%	
P(ancestors|"our) = 50%	
P(prayers|"our) = 50%	
P(did|"overlord") = 100%	
P(we|"overlords.") = 100%	
P(of|"pastime) = 100%	
P(pence"|"peter's) = 100%	
P(to|"picture) = 100%	
P(of|"pink) = 100%	
P(charles,|"pious) = 100%	
P(vanilla|"plain) = 100%	
P(gentleman,"|"pleasant-witted) = 100%	
P(the|"plyed) = 100%	
P(fellow-soldiers|"poor) = 100%	
P(were|"popes,") = 100%	
P(of|"possession) = 100%	
P(of|"prince) = 100%	
P(war"|"private) = 100%	
P(gutenberg"|"project) = 100%	
P(us|"protect) = 100%	
P(briton,"|"proud) = 100%	
P(than|"rather) = 100%	
P(the|"reaches) = 100%	
P(themselves,|"recommending") = 100%	
P(king"|"red) = 100%	
P(or|"regalia") = 100%	
P(or|"relief,") = 100%	
P(that|"remember) = 100%	
P(spoken|"representative") = 100%	
P(home,"|"return) = 100%	
P(fitz|"robert) = 100%	
P(signors,"|"roman) = 50%	
P(peace,"|"roman) = 50%	
P(oppose|"romanists") = 100%	
P(tower"|"round) = 100%	
P(house|"royal) = 100%	
P(had|"scarcely) = 100%	
P(also|"scotland,) = 100%	
P(ants."|"scottish) = 100%	
P(was|"scutage") = 100%	
P(you,"|"see) = 100%	
P(my|"see,) = 100%	
P(and|"senate) = 100%	
P(of|"servant) = 100%	
P(oriel,"|"shafted) = 100%	
P(no|"should) = 100%	
P(paradise|"shuts) = 100%	
P(in|"sign.") = 100%	
P(king,|"sir) = 100%	
P(in|"skeleton) = 100%	
P(much|"so) = 50%	
P(long|"so) = 50%	
P(a|"socmen,") = 100%	
P(began|"solomon) = 100%	
P(stood|"some) = 50%	
P(wax|"some) = 50%	
P(the|"spread) = 100%	
P(usurps|"stephen) = 100%	
P(to|"still) = 100%	
P(away|"stole) = 100%	
P(lands|"subinfeudation,") = 100%	
P(hath|"such) = 33%	
P(is|"such) = 67%	
P(pity|"take) = 100%	
P(he|"take,") = 100%	
P(and|"talking) = 100%	
P(thy|"tell) = 100%	
P(or|"templars,") = 100%	
P(of|"temple) = 100%	
P(peace"|"teutonic) = 100%	
P(a|"thane-service,") = 100%	
P(we|"that) = 9%	
P(whoever,|"that) = 9%	
P(i|"that) = 9%	
P(thou|"that) = 9%	
P(every|"that) = 9%	
P(in|"that) = 9%	
P(during|"that) = 9%	
P(man|"that) = 9%	
P(any|"that) = 9%	
P(he|"that) = 18%	
P(being|"that,) = 100%	
P(bishops,|"the) = 1%	
P(chivalry|"the) = 1%	
P(people|"the) = 1%	
P(carpenter,"|"the) = 1%	
P(turning-point|"the) = 2%	
P(confused|"the) = 1%	
P(one|"the) = 1%	
P(high|"the) = 1%	
P(surrounding|"the) = 1%	
P(lion|"the) = 1%	
P(barons|"the) = 1%	
P(battle|"the) = 1%	
P(cathedral|"the) = 1%	
P(sport|"the) = 1%	
P(fair,"|"the) = 1%	
P(scrolls|"the) = 1%	
P(swan-necked,"|"the) = 1%	
P(rout|"the) = 1%	
P(wise"|"the) = 1%	
P(king's|"the) = 4%	
P(palace,"|"the) = 1%	
P(happiest|"the) = 1%	
P(whole|"the) = 2%	
P(fourth|"the) = 1%	
P(master|"the) = 1%	
P(wonder|"the) = 1%	
P(symbol|"the) = 1%	
P(imam|"the) = 2%	
P(christian|"the) = 1%	
P(brothers|"the) = 1%	
P(eastern|"the) = 1%	
P(beasts|"the) = 1%	
P(french|"the) = 1%	
P(standard|"the) = 1%	
P(most|"the) = 2%	
P(land|"the) = 1%	
P(devout|"the) = 1%	
P(new|"the) = 1%	
P(bad,"|"the) = 1%	
P(true|"the) = 1%	
P(spirit|"the) = 1%	
P(viscount|"the) = 1%	
P(case|"the) = 1%	
P(king|"the) = 1%	
P(prefect|"the) = 1%	
P(knighthood|"the) = 1%	
P(bishops|"the) = 1%	
P(license|"the) = 1%	
P(northmen,"|"the) = 1%	
P(martial"|"the) = 1%	
P(popes,"|"the) = 1%	
P(arrows|"the) = 1%	
P(varlets|"the) = 1%	
P(great,"|"the) = 1%	
P(temple|"the) = 2%	
P(morrow|"the) = 1%	
P(neighbor|"the) = 1%	
P(english|"the) = 6%	
P(lucky"|"the) = 1%	
P(normans|"the) = 7%	
P(roman,"|"the) = 1%	
P(first|"the) = 5%	
P(all|"then) = 10%	
P(i|"then) = 10%	
P(there|"then) = 10%	
P(taillefer|"then) = 10%	
P(the|"then) = 20%	
P(taillefer,|"then) = 10%	
P(those|"then) = 10%	
P(he|"then) = 20%	
P(is|"there) = 25%	
P(was|"there) = 25%	
P(would|"there) = 13%	
P(were|"there) = 38%	
P(hills?|"these) = 25%	
P(heroes|"these) = 25%	
P(javelins|"these) = 25%	
P(things|"these) = 25%	
P(laid|"they) = 20%	
P(who|"they) = 20%	
P(arrived|"they) = 20%	
P(wore|"they) = 20%	
P(celebrate|"they) = 20%	
P(city,"|"this) = 14%	
P(same|"this) = 14%	
P(can|"this) = 14%	
P(aben|"this) = 14%	
P(stranger,"|"this) = 14%	
P(year,"|"this) = 14%	
P(was|"this) = 14%	
P(of|"those) = 50%	
P(whom|"those) = 50%	
P(hast|"thou) = 33%	
P(canst|"thou) = 33%	
P(wert|"thou) = 33%	
P(far|"thus) = 25%	
P(was|"thus) = 25%	
P(they|"thus) = 50%	
P(hugh,|"to) = 17%	
P(all|"to) = 17%	
P(the|"to) = 33%	
P(submit|"to) = 17%	
P(get|"to) = 17%	
P(of|"toft") = 100%	
P(way,"|"triumphal) = 100%	
P(in|"triumphant,") = 100%	
P(of|"triumphs) = 100%	
P(of|"truce) = 100%	
P(bishop."|"universal) = 100%	
P(procured|"unready"]) = 100%	
P(warriors,"|"valiant) = 100%	
P(arms"--that|"virile) = 100%	
P(in|"walls) = 100%	
P(of|"war) = 50%	
P(flag|"war) = 50%	
P(ethelred,|"was) = 100%	
P(poet,"|"water) = 100%	
P(will|"we) = 17%	
P(be|"we) = 17%	
P(yield,"|"we) = 17%	
P(have|"we) = 33%	
P(do|"we) = 17%	
P(knowing|"well) = 100%	
P(men"|"what) = 100%	
P(therefore,|"what,) = 100%	
P(the|"whatever) = 100%	
P(i|"when) = 17%	
P(harold|"when) = 17%	
P(the|"when) = 50%	
P(we|"when) = 17%	
P(come|"whence) = 100%	
P(the|"where) = 50%	
P(shall|"where) = 50%	
P(the|"whereof) = 100%	
P(the|"which) = 100%	
P(will|"who) = 50%	
P(is|"who) = 50%	
P(hence|"wiches.") = 100%	
P(ye|"will) = 100%	
P(fought|"william) = 50%	
P(sat|"william) = 50%	
P(a|"with) = 33%	
P(the|"with) = 33%	
P(his|"with) = 33%	
P(his|"without) = 100%	
P(to|"woe) = 100%	
P(all|"ye) = 50%	
P(have|"ye) = 50%	
P(said|"yes,") = 100%	
P(will|"you) = 25%	
P(see|"you) = 25%	
P(perceive|"you) = 25%	
P(mean|"you) = 25%	
P(head|"your) = 100%	
P(is|"youth) = 100%	
P(are|#10000,) = 100%	
P(are|$5,000)) = 100%	
P(aie_!'|'_dex) = 50%	
P(aie_,'|'_dex) = 50%	
P(good|'are) = 100%	
P(with|'as-is,") = 100%	
P(my|'bear) = 100%	
P(are|'blessed) = 100%	
P(the|'by) = 100%	
P(on,|'come) = 100%	
P(they|'cowards,') = 100%	
P(after|'eager) = 100%	
P(i|'for) = 100%	
P(strike!|'frenchmen,) = 100%	
P(and|'go) = 100%	
P(feared|'hammer,'[22]) = 100%	
P(here,|'here,) = 100%	
P(will|'i) = 17%	
P(always|'i) = 17%	
P(rely|'i) = 17%	
P(thank|'i) = 17%	
P(have|'i) = 33%	
P(is|'it) = 100%	
P(your|'lead) = 100%	
P(we|'lo,) = 100%	
P(folks|'many) = 100%	
P(have|'never) = 100%	
P(quoth|'never,') = 100%	
P(so!|'not) = 100%	
P(and|'silver) = 100%	
P(said|'sire,') = 100%	
P(fast!|'stand) = 100%	
P(a|'such) = 100%	
P(which|'templars,') = 100%	
P(of|'temple) = 100%	
P(normans,'|'the) = 50%	
P(salt|'the) = 50%	
P(is|'there) = 100%	
P(holy.'"|'thrice) = 100%	
P(gold|'thy) = 100%	
P(do|'tinkhelt,') = 100%	
P(time|'tis) = 100%	
P(robe'|'virile) = 100%	
P(tarry|'we) = 50%	
P(must|'we) = 50%	
P(then|'wibetes.') = 100%	
P(i|'will) = 100%	
P(are|'ye) = 100%	
P(came|'you) = 100%	
P(master!|("hail,) = 100%	
P(holy"),|("the) = 17%	
P(holy|("the) = 17%	
P(foundation"|("the) = 17%	
P(house|("the) = 17%	
P(noble"),|("the) = 17%	
P(field|("the) = 17%	
P(to|($1) = 100%	
P(from|(1002),) = 100%	
P(to|(1007)) = 100%	
P(whither|(1013),) = 100%	
P(he|(1016).) = 100%	
P(and|(1065),) = 100%	
P(which|(1075),) = 100%	
P(to|(10th) = 100%	
P(and|(1120),) = 100%	
P(praising|(1123),) = 100%	
P(hugh|(1128)) = 100%	
P(which|(1128),) = 100%	
P(before|(1130)) = 100%	
P(among|(1135).) = 100%	
P(produced|(1204)) = 100%	
P(596-1887,|(801)) = 100%	
P(is|(843)) = 100%	
P(who|(858-867),) = 100%	
P(by|(869).) = 100%	
P(but|(879).) = 100%	
P(he|(886),) = 100%	
P(a|(946-953),) = 100%	
P(to|(9th) = 100%	
P(never|(_ber_)) = 100%	
P(which|(_haia_),) = 100%	
P(the|(_hella_).) = 100%	
P(blanche|(_la) = 100%	
P(champ|(_le) = 100%	
P(they|(_o-soe-bratt_).) = 100%	
P(and|(_sic_),) = 100%	
P(are|(_venatores_)) = 100%	
P(distribution|(a)) = 100%	
P(1048)|(a.d.) = 5%	
P(911-936)|(a.d.) = 5%	
P(1024)|(a.d.) = 5%	
P(1145-1155)|(a.d.) = 5%	
P(1086)|(a.d.) = 5%	
P(969)|(a.d.) = 5%	
P(1146)|(a.d.) = 5%	
P(1096-1099)|(a.d.) = 5%	
P(843-1161)|(a.d.) = 5%	
P(1054)|(a.d.) = 5%	
P(1066)|(a.d.) = 5%	
P(1017)|(a.d.) = 5%	
P(1118)|(a.d.) = 5%	
P(1046);|(a.d.) = 5%	
P(1073-1085)|(a.d.) = 5%	
P(871-901)|(a.d.) = 5%	
P(1135-1154)|(a.d.) = 5%	
P(1086-1214)|(a.d.) = 5%	
P(1000)|(a.d.) = 9%	
P(988-1015)|(a.d.) = 5%	
P(843-911)|(a.d.) = 5%	
P(a.d.|(about) = 50%	
P(twenty-four|(about) = 50%	
P(to|(according) = 100%	
P(hegira)|(ad) = 100%	
P(the|(after) = 100%	
P(the|(alfred) = 100%	
P(the|(among) = 100%	
P(you!)|(and) = 50%	
P(which|(and) = 50%	
P(that|(antioch),) = 100%	
P(work|(any) = 100%	
P(giving|(asser) = 100%	
P(with|(available) = 100%	
P(bishop|(aymer)) = 100%	
P(alteration,|(b)) = 100%	
P(the|(besides) = 100%	
P(overlooked|(beyrout),) = 100%	
P(or|(burghs) = 100%	
P(any|(c)) = 100%	
P(but|(chevalier),) = 100%	
P(iii),|(clement) = 100%	
P(in|(crossness)) = 100%	
P(uncertain.)|(date) = 100%	
P(not|(does) = 100%	
P(of|(durazzo),) = 100%	
P(the|(during) = 100%	
P(was|(el-kahir)) = 100%	
P(they|(esquimaux).) = 100%	
P(in|(fas)) = 100%	
P(and|(franconia) = 100%	
P(the|(from) = 50%	
P(charlemagne|(from) = 50%	
P(he|(germany),) = 100%	
P(and|(glaciers),) = 100%	
P(they|(glaciers).) = 100%	
P(a|(guelf),) = 100%	
P(which|(hawking),) = 100%	
P(during|(if) = 50%	
P(any)|(if) = 50%	
P(the|(in) = 100%	
P(was|(it) = 100%	
P(cape).|(keel) = 100%	
P(who|(land-owners),) = 100%	
P(in|(lorraine).) = 100%	
P(cross|(magyars)) = 100%	
P(to|(morocco)) = 100%	
P(cairo)|(now) = 100%	
P(/etext|(or) = 11%	
P(knight),|(or) = 11%	
P(any|(or) = 11%	
P(are|(or) = 11%	
P("gate|(or) = 33%	
P("protectors").|(or) = 11%	
P(by|(or) = 11%	
P(near|(pelusium),) = 100%	
P(feeling|(religious) = 100%	
P(and|(son) = 100%	
P(social|(that) = 50%	
P(is,|(that) = 50%	
P(danish|(the) = 20%	
P(ropes|(the) = 20%	
P(period|(the) = 20%	
P(paphlagonian),|(the) = 20%	
P(famous|(the) = 20%	
P(who|(thibault),) = 100%	
P(the|(toward) = 100%	
P(agreement.|(trademark/copyright)) = 100%	
P(and|(villas)) = 100%	
P(in|(vineland).) = 100%	
P(william|(when) = 100%	
P(may|(which) = 25%	
P(percy|(which) = 25%	
P(is|(which) = 25%	
P(was|(which) = 25%	
P(buddhism|(while) = 100%	
P(had|(who) = 100%	
P(the|(william) = 100%	
P(winburn,|(wiltshire),) = 100%	
P(from|(woodland).) = 100%	
P(on|(writers) = 100%	
P(reigned|(yahia)) = 100%	
P(html|(zipped),) = 100%	
P(start:|***) = 50%	
P(end:|***) = 50%	
P(this|*******) = 100%	
P(of|***end) = 100%	
P(of|***start) = 100%	
P(you|-) = 71%	
P(except|-) = 14%	
P(if|-) = 14%	
P(05,|/etext) = 100%	
P(99,|00,) = 100%	
P(00,|01,) = 100%	
P(01,|02,) = 100%	
P(02,|03,) = 100%	
P(03,|04,) = 100%	
P(04,|05,) = 100%	
P(1045.|1,) = 50%	
P(by|1,) = 50%	
P(general|1.) = 100%	
P(by|1.a.) = 100%	
P("project|1.b.) = 100%	
P(below.|1.c) = 100%	
P(the|1.c.) = 100%	
P(the|1.d.) = 100%	
P(below.|1.e) = 100%	
P(unless|1.e.) = 100%	
P(with|1.e.1) = 50%	
P(through|1.e.1) = 50%	
P(the|1.e.1.) = 100%	
P(if|1.e.2.) = 100%	
P(if|1.e.3.) = 100%	
P(do|1.e.4.) = 100%	
P(do|1.e.5.) = 100%	
P(you|1.e.6.) = 100%	
P(and|1.e.7) = 50%	
P(or|1.e.7) = 50%	
P(do|1.e.7.) = 100%	
P(or|1.e.8) = 100%	
P(you|1.e.8.) = 100%	
P(if|1.e.9.) = 100%	
P(project|1.f.1.) = 100%	
P(limited|1.f.2.) = 100%	
P(a|1.f.3,) = 33%	
P(this|1.f.3,) = 33%	
P(the|1.f.3,) = 33%	
P(limited|1.f.3.) = 100%	
P(except|1.f.4.) = 100%	
P(some|1.f.5.) = 100%	
P(indemnity|1.f.6.) = 100%	
P(years|100) = 100%	
P(they|1000) = 100%	
P(the|1000,) = 100%	
P(leif|1000.) = 50%	
P(at|1000.) = 50%	
P(massacre|1002.) = 50%	
P(he|1002.) = 50%	
P(thorwald|1003) = 100%	
P(was|1003,) = 100%	
P(sweyn|1003.) = 100%	
P(thorwald|1004,) = 100%	
P(they|1005) = 100%	
P(the|1011-1013,) = 100%	
P(after|1013.) = 100%	
P(death|1014.) = 100%	
P(or|10151.txt) = 100%	
P(*******|10151.zip) = 100%	
P(pope|1016.) = 100%	
P(swatopolk,|1017.) = 100%	
P(complete|1018.) = 100%	
P(the|1020) = 100%	
P(death|1020.) = 50%	
P(he|1020.) = 50%	
P(became|1022,) = 100%	
P(guido|1022.) = 100%	
P(would|10234) = 100%	
P(death|1024.) = 100%	
P(conrad|1027.) = 100%	
P(canute|1028.) = 100%	
P(end|1031.) = 100%	
P(according|1033,) = 100%	
P(institution|1033.) = 100%	
P(death|1035.) = 100%	
P(avicenna,|1037.) = 100%	
P(protected|1038,) = 100%	
P(murder|1039.) = 100%	
P(end|1042.) = 100%	
P(he|1044) = 100%	
P(or|1044,) = 100%	
P(and|1045) = 100%	
P(ferdinand|1045.) = 100%	
P(was|1045;) = 100%	
P(the|1046) = 100%	
P(in|1046);) = 100%	
P(accompanied|1046,) = 33%	
P(who|1046,) = 33%	
P(immediately|1046,) = 33%	
P(henry|1046.) = 100%	
P(count|1047.) = 100%	
P(he|1048) = 100%	
P(on|1048.) = 100%	
P(hildebrand,|1049.) = 100%	
P(ruled|1050,) = 100%	
P(berenger|1050.) = 100%	
P(and|1051,) = 100%	
P(william|1051.) = 100%	
P(archbishop|1052.) = 100%	
P(succeeded|1052;) = 100%	
P(to|1053) = 50%	
P(by|1053) = 50%	
P(the|1053--relinquishing) = 100%	
P(in|1053.) = 100%	
P(was|1054,) = 33%	
P(they|1054,) = 33%	
P(in|1054,) = 33%	
P(separation|1054.) = 100%	
P(togrul|1055.) = 100%	
P(death|1056.) = 100%	
P(harold,|1057.) = 100%	
P(that|1058,) = 100%	
P(through|1058--chiefly) = 100%	
P(nicholas|1059.) = 100%	
P(king|1060.) = 100%	
P(robert|1061.) = 100%	
P(the|1062.) = 100%	
P(a|1064) = 50%	
P(the|1064) = 50%	
P(shipwrecked|1064--being) = 100%	
P(jerusalem|1065) = 100%	
P(and|1066) = 33%	
P(all|1066) = 33%	
P(was|1066) = 33%	
P(william|1066,) = 50%	
P(at|1066,) = 50%	
P(assembly|1066--an) = 100%	
P(death|1066.) = 100%	
P(council|1067.) = 100%	
P(the|1067;) = 100%	
P(carrier|1068.) = 100%	
P(the|1068;) = 100%	
P(and|1069) = 100%	
P(morocco|1069.) = 100%	
P(the|1070) = 100%	
P(the|1070;) = 100%	
P(in|1071,) = 100%	
P(alp|1071.) = 100%	
P(palermo|1072.) = 100%	
P(he|1073,) = 100%	
P(lissa,|1073.) = 100%	
P((which|1074) = 50%	
P(opened|1074) = 50%	
P(in|1074,) = 100%	
P(gregory|1074.) = 100%	
P(they|1074;) = 100%	
P(by|1075) = 100%	
P(the|1075,) = 50%	
P(in|1075,) = 50%	
P(lay|1075.) = 100%	
P(which|1076,) = 100%	
P(atziz,|1076.) = 100%	
P(his|1077,) = 100%	
P(pope|1077.) = 100%	
P(appointing|1078,) = 100%	
P(boleslas|1079.) = 100%	
P(the|1080) = 100%	
P(a|1080,) = 100%	
P(henry|1080.) = 100%	
P(which|1081,) = 100%	
P(constantinople|1081.) = 100%	
P(gregory|1084.) = 100%	
P(affords|1085) = 100%	
P(and|1085,) = 100%	
P(and|1085-1086,) = 100%	
P(death|1085.) = 50%	
P(in|1085.) = 50%	
P(and|1086,) = 50%	
P(which|1086,) = 50%	
P("completion|1086.) = 100%	
P(king|1087.) = 100%	
P(he|1088,) = 100%	
P(yussef|1088.) = 100%	
P(henry|1089.) = 100%	
P(hasan,|1090.) = 100%	
P(he|1091) = 100%	
P(yussef|1091.) = 100%	
P(guibert's|1092.) = 100%	
P(king|1093.) = 100%	
P(and|1094,) = 50%	
P(pope|1094,) = 50%	
P(sancho,|1094.) = 100%	
P(philip|1095.) = 100%	
P(and|1096) = 100%	
P(the|1096.) = 50%	
P(aphdal,|1096.) = 50%	
P(william|1097.) = 100%	
P(edgar,|1098.) = 100%	
P(the|1099,) = 100%	
P(jerusalem|1099.) = 100%	
P(see|10:) = 100%	
P(day|10th) = 100%	
P(became|1100,) = 100%	
P(new|1100.) = 100%	
P(robert,|1101.) = 100%	
P(pope|1102.) = 100%	
P(yussef's|1103.) = 100%	
P(baldwin,|1104.) = 100%	
P(interview|1105.) = 100%	
P(king|1106.) = 100%	
P(death|1108.) = 100%	
P(but|1109,) = 100%	
P(baldwin,|1109.) = 100%	
P(emperor|1111.) = 100%	
P(death|1113.) = 100%	
P(war|1114.) = 100%	
